Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Twentyten,Twentyeleven,Twentytwelve,Twentythirteen,Twentyfourteen,Twentyfifteen,Twentysixteen,Twentyseventeen,Twentyeighteen,Twentynineteen
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.48,871.17,1674.4,2267.29,2622.2,2867.01,3018.39,3147.56,3310.97,3440.86,3648.79,3967.19,4182.01,4429.99,4680.99,4562.71,4635.52,4734.21,4774.39,4972.66,5117.14,5356.3,5595.1,5772.85,6037.1,6236.03
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102.33,3063.6,2763.53,2547.77,2252.32,2024.61,2088.26,2336.21,2544.53,2642.13,2808.57,2956.42,3125.41,3369.03,3780.48,4164.19,4608.74,5028.11,5560.15,5583.7,6029.4,6365.38,6478.7,6542.68,6649.65,6384.82,6215.7,6375.29,6586.3,6678.51
Belize,1079.38,1100.64,1122.71,1145.65,1169.03,1191.41,1211.4,1233.19,1285.61,1315,1345.27,1369.28,1481.22,1534.62,1715.99,1751.59,1726.55,1813.99,1929.84,2040.54,2268.96,2241.65,2181.08,2075.14,2056.35,2019.56,2053.38,2211.83,2364.46,2607.38,2842.49,3109.08,3426.71,3580.99,3514.49,3446.84,3386.43,3381.19,3375.68,3537.68,3863.55,3921.55,3992.98,4251.48,4340.95,4311.5,4402.69,4311.07,4348.23,4249.3,4270.86,4250.32,4253.1,4212.33,4270.95,4300.56,4216.98,4211.45,4217.51,4149.86
Bermuda,27838.39,28436.72,29006.58,28640.88,31041.95,31740.64,35659.16,39616.14,39686.96,40290.57,42055.03,43819.36,44942.92,45948.83,46699.1,48824.5,52988.75,55903.56,56504.09,57503.22,61083.45,62106.13,58400.28,59061.17,58826.95,57167.1,60463.91,62224.89,64196.23,63939.81,63429.28,61503.64,61913.78,63435.47,63374.77,65690.96,66969.93,69624.44,71810.38,73825.18,79988.35,84844.74,83048.8,85321.24,86733.37,87616.39,91944.87,94029.61,94903.19,89391.21,88207.33,86001.17,81547.86,79251.78,,,,,,
Bolivia,1005.41,1006.59,1042.06,1091.04,1111.69,1142.89,1199.99,1249.68,1328.23,1358.66,1399.52,1439.01,1520.27,1572.74,1583.78,1662.48,1701.09,1746.45,1743.39,1708.17,1649.26,1619.79,1524.61,1433.77,1402.23,1350.75,1288.94,1293.29,1303.11,1324.16,1356.54,1398.12,1391.48,1420.74,1456.39,1493.42,1527.11,1570.82,1617.37,1592.74,1601.42,1597.64,1606.9,1620.26,1657.51,1700.18,1750.8,1799.5,1878.11,1909.08,1955.46,2024.12,2094.02,2201.4,2286.01,2361.06,2425.56,2490.96,2559.51,2579.9
Brazil,3417.35,3660.39,3740.43,3664.98,3685.49,3692.85,3741.86,3821.46,4147.38,4435.38,4704.32,5108.4,5587.89,6219.51,6623.42,6805.3,7296.35,7453.59,7514.29,7835.07,8349.49,7796.85,7660.58,7230.72,7442.97,7862.7,8316.52,8445.71,8276.33,8389.98,7983.75,7963.11,7791.76,8020.61,8311.56,8540.08,8591.01,8744.85,8641.28,8554.07,8803.15,8804.33,8954.84,8943.83,9346.04,9535.42,9805.72,10293.53,10710.87,10594.99,11286.24,11627.81,11745.78,11993.48,11951.21,11431.15,10965.97,11021.72,11079.71,11121.74
Barbados,,,,,,,,,,,,,,,11160.4,10881.19,11290.09,11637.65,12143.46,13042.1,13556.19,13251.19,12562.87,12590.86,13007.98,13111.53,13735.53,14041.6,14480.05,14944.78,14396.25,13783.62,12950.48,13004.31,13214.77,13427.08,13903.82,14501.08,14977.57,14965.74,15570.04,15146.79,15214.41,15494.17,15658.37,16216.53,17102.32,17402.22,17446.22,16492.12,16056.37,15900.02,15787.8,15533.11,15484.95,15836.38,16202.12,16254.24,16136.91,16099.83
Brunei,,,,,,,,,,,,,,,45632.25,43937.47,50735.58,54169.99,55768.54,66019.88,59413.39,46170.99,46590.02,45496.5,44489.96,42601.64,40284.28,39943.67,39251.69,37740.78,37080.91,37171.47,37848.13,36913.65,37052.27,37713.69,37842.93,36409.37,35390.79,35680.98,35931.6,36171.81,36841.29,37212.47,36761.25,36329.5,37399.74,36987.84,35844.42,34800.56,35269.55,36121.89,35967.33,34729.83,33416.78,32873.47,31685.23,31752.74,31436.87,32327.41
Bhutan,,,,,,,,,,,,,,,,,,,,,390.06,432.37,435.85,473.14,481.59,488.04,528.86,659.12,671.31,703.75,767.61,759.01,794.1,812.79,854.16,909.93,948.42,980.83,1015.52,1070.97,1119.76,1187.89,1291.97,1366.82,1424.05,1504.46,1588.53,1859.09,1928.77,2038.56,2258.18,2411.03,2504.51,2526.43,2639.6,2780.82,2970.77,3072.02,3128,
Botswana,407.78,425.24,443.98,459.82,480.31,497.23,517.71,537,580.95,653.11,744.92,910.25,1114.44,1307.14,1372.79,1435.24,1529.02,1647.32,1811.17,1954.64,2109,2219.73,2405.82,2631.23,2758.31,2849.47,2967.59,3193.81,3671.44,4002.76,4133.46,4309.26,4313.86,4284.79,4332.03,4525.77,4676.44,4948.41,4858.71,5214.45,5211.07,5126.35,5341.92,5493.14,5542.31,5686.78,6038.79,6400.72,6657.83,6029.2,6434.82,6728.2,6944.81,7646.41,7864.25,7613.7,7797.14,7859.17,8032.68,8092.97
