LOCATION,TIME,Value
Bulgaria,2009-Q2,-0.208409688
Bulgaria,2009-Q3,0.65771587
Bulgaria,2009-Q4,-3.114571141
Romania,2008-Q1,4.666233176
Romania,2008-Q2,1.669828192
Romania,2008-Q3,0.18212667
Romania,2008-Q4,-1.727057932
Romania,2009-Q1,-4.074610812
Romania,2009-Q2,-0.703236647
Romania,2009-Q3,0.161950491
Romania,2009-Q4,-0.074212557
EU27_2020,2008-Q1,0.507341
EU27_2020,2008-Q2,-0.235048
EU27_2020,2008-Q3,-0.496316
EU27_2020,2008-Q4,-1.797527
EU27_2020,2009-Q1,-2.895448
EU27_2020,2009-Q2,-0.087827
EU27_2020,2009-Q3,0.364194
EU27_2020,2009-Q4,0.484553
