Country,Time,Value
Greece,2019Q4,0.896620981
Greece,2020Q1,0.688364803
Greece,2020Q2,14.04796583
OECDE,2018Q4,0.127778
OECDE,2019Q1,0.666524
OECDE,2019Q2,0.338557
OECDE,2019Q3,0.379986
OECDE,2019Q4,0.304669
OECDE,2020Q1,2.918692
OECDE,2020Q2,12.324707
G7,2018Q4,0.359183
G7,2019Q1,0.630347
G7,2019Q2,0.244044
G7,2019Q3,0.410019
G7,2019Q4,0.056444
G7,2020Q1,2.018582
G7,2020Q2,10.461977
G20,2018Q4,0.6123
G20,2019Q1,0.85588
G20,2019Q2,0.75734
G20,2019Q3,0.56665
G20,2019Q4,0.44769
G20,2020Q1,3.45207
G20,2020Q2,6.9
Columbia,2018Q4,0.499237547
Columbia,2019Q1,0.462539245
Columbia,2019Q2,1.625902323
Columbia,2019Q3,0.782613083
Columbia,2019Q4,0.716205201
Columbia,2020Q1,2.107924091
Columbia,2020Q2,14.90964194
EA19,2018Q4,0.461807
EA19,2019Q1,0.516967
EA19,2019Q2,0.114209
EA19,2019Q3,0.327659
EA19,2019Q4,0.039041
EA19,2020Q1,3.723635
EA19,2020Q2,11.796782
Lithuania,2018Q4,1.061503368
Lithuania,2019Q1,1.611793989
Lithuania,2019Q2,0.750013608
Lithuania,2019Q3,0.658747853
Lithuania,2019Q4,0.780901519
Lithuania,2020Q1,0.026924279
Lithuania,2020Q2,5.91185151
Saudi Arabia,2018Q4,0.617773716
Saudi Arabia,2019Q1,0.766428183
Saudi Arabia,2019Q2,0.216188905
Saudi Arabia,2019Q3,0.618688239
Saudi Arabia,2019Q4,0.26783148
Saudi Arabia,2020Q1,0.90199214
Saudi Arabia,2020Q2,4.906523369
Bulgaria,2018Q4,0.866075138
Bulgaria,2019Q1,1.253743415
Bulgaria,2019Q2,0.591437158
Bulgaria,2019Q3,0.567909373
Bulgaria,2019Q4,0.640259306
Bulgaria,2020Q1,0.445050608
Bulgaria,2020Q2,10.06903224
Romania,2018Q4,0.44296361
Romania,2019Q1,1.79406558
Romania,2019Q2,0.447631588
Romania,2019Q3,0.746330016
Romania,2019Q4,1.29412862
Romania,2020Q1,0.044658272
Romania,2020Q2,11.92747388
EU27_2020,2018Q4,0.522056
EU27_2020,2019Q1,0.589021
EU27_2020,2019Q2,0.176653
EU27_2020,2019Q3,0.379699
EU27_2020,2019Q4,0.092797
EU27_2020,2020Q1,3.28464
EU27_2020,2020Q2,11.430486
